기준년월,행정동코드,행정동명,연령대,평균이용금액,평균이용건수
202512,2629053000,남구 대연3동,60대이상,177093828,4031
202512,2629054000,남구 대연4동,20대,8055481,452
202512,2629054000,남구 대연4동,20대미만,481315,60
202512,2629054000,남구 대연4동,30대,21563620,860
202512,2629054000,남구 대연4동,40대,33029864,970
202512,2629054000,남구 대연4동,50대,38080071,1111
202512,2629054000,남구 대연4동,60대이상,66517568,1704
202512,2629055000,남구 대연5동,20대,26711215,1479
202512,2629055000,남구 대연5동,20대미만,2055581,183
202512,2629055000,남구 대연5동,30대,40799597,1414
202512,2629055000,남구 대연5동,40대,65778755,2040
202512,2629055000,남구 대연5동,50대,81503014,2697
202512,2629055000,남구 대연5동,60대이상,121511686,4093
202512,2629056000,남구 대연6동,20대,10242327,612
202512,2629056000,남구 대연6동,20대미만,928100,82
202512,2629056000,남구 대연6동,30대,22545270,960
202512,2629056000,남구 대연6동,40대,39786950,1275
202512,2629056000,남구 대연6동,50대,37682207,1237
202512,2629056000,남구 대연6동,60대이상,48777410,1359
202512,2629057000,남구 용호1동,20대,30797948,1697
202512,2629057000,남구 용호1동,20대미만,3692738,319
202512,2629057000,남구 용호1동,30대,68137992,2495
202512,2629057000,남구 용호1동,40대,153866310,4234
202512,2629057000,남구 용호1동,50대,164201682,4999
202512,2629057000,남구 용호1동,60대이상,234052820,7045
202512,2629058000,남구 용호2동,20대,7551218,456
202512,2629058000,남구 용호2동,20대미만,597217,75
202512,2629058000,남구 용호2동,30대,15447689,604
202512,2629058000,남구 용호2동,40대,29464018,1044
202512,2629058000,남구 용호2동,50대,37381958,1359
202512,2629058000,남구 용호2동,60대이상,64454085,2044
202512,2629059000,남구 용호3동,20대,8734791,543
202512,2629059000,남구 용호3동,20대미만,830410,54
